img_no,x,y,z,img_x,img_y,l2_dlt,l2_opencv
190,2.137556314468384,0.6716678142547607,0.3868168592453003,51.0,23.0,5.0990195135927845,5.0990195135927845
191,2.135810613632202,0.65864497423172,0.3792940676212311,50.0,23.0,5.0,4.123105625617661
192,2.1392853260040283,0.6917548775672913,0.3989545404911041,49.0,22.0,3.0,4.123105625617661
193,2.1496405601501465,0.7052468061447144,0.4056032299995422,49.0,22.0,3.1622776601683795,4.123105625617661
194,2.1682612895965576,0.696735143661499,0.4066324234008789,48.0,22.0,2.23606797749979,3.1622776601683795
195,2.1858184337615967,0.6962618827819824,0.3936853110790252,48.0,22.0,2.8284271247461903,3.605551275463989
196,2.301344156265259,0.9222174882888794,0.4142538011074066,49.0,23.0,10.04987562112089,11.045361017187261
197,2.262028455734253,0.6772525906562805,0.3977232277393341,49.0,23.0,1.0,2.23606797749979
198,2.262028455734253,0.6772525906562805,0.3977232277393341,50.0,24.0,2.23606797749979,3.0
199,2.281455516815185,0.733439564704895,0.3868690729141235,50.0,24.0,5.0990195135927845,5.0
